,Unnamed: 0,emphasized,actual,sentiment
40137,40137,prettyyyyyyyyyyyyyy,pretty,1
40139,40139,prrrrrrretty,pretty,1
40142,40142,preetty,pretty,1
40148,40148,ppppppretty,pretty,1
40162,40162,ppppretty,pretty,1
40168,40168,prrrrrrrrrretty,pretty,1
40169,40169,prettyyyyyyyy,pretty,1
40180,40180,preeeeeeeeeeeeeetty,pretty,1
40196,40196,prretty,pretty,1
40205,40205,ppretty,pretty,1
40207,40207,preeeeeetty,pretty,1
40220,40220,preeeeeeeetty,pretty,1
50000,50000,niiiiiiiiiiiiiice,nice,1
50001,50001,niiice,nice,1
50002,50002,nnnnnnice,nice,1
50003,50003,niiiiiiiiiiiiice,nice,1
50004,50004,niccce,nice,1
50005,50005,niceeee,nice,1
50006,50006,niceeeeeeeeeee,nice,1
50007,50007,niiiiiiiiiice,nice,1
50008,50008,nicccccccccccccce,nice,1
50009,50009,nnnnnnnnnnnnice,nice,1
50010,50010,nicccccce,nice,1
50011,50011,niceeeeeeee,nice,1
50012,50012,niiiiice,nice,1
50014,50014,nnnnnnnnice,nice,1
50015,50015,nnnnnnnnnnnnnice,nice,1
50016,50016,niccccccccccccce,nice,1
50017,50017,nnnnnnnnnnnnnnice,nice,1
50018,50018,nicccce,nice,1
50020,50020,niiiice,nice,1
50021,50021,nicccccccce,nice,1
50022,50022,nicccccccccccce,nice,1
50024,50024,niccccccce,nice,1
50026,50026,nnnnnnnnnnnice,nice,1
50027,50027,niccccccccccccccce,nice,1
50028,50028,niiiiiiiiiiice,nice,1
50029,50029,niice,nice,1
50031,50031,nnnnice,nice,1
50033,50033,niceeeeeeeeeeeee,nice,1
50037,50037,nnnnnnnnnnnnnnnice,nice,1
50038,50038,niiiiiiiice,nice,1
50040,50040,nicce,nice,1
50044,50044,nicccccccccce,nice,1
50048,50048,nnnnnice,nice,1
50049,50049,nicee,nice,1
50051,50051,niiiiiiiiiiiice,nice,1
50053,50053,niiiiiiiiiiiiiiice,nice,1
50056,50056,niccccccccce,nice,1
50071,50071,niceeeeeeeeeeeeeee,nice,1
50072,50072,niceeeee,nice,1
50073,50073,niceeeeeeeeeeee,nice,1
50074,50074,niiiiiiice,nice,1
50077,50077,nnnnnnnice,nice,1
50085,50085,niceeeeee,nice,1
50091,50091,nnice,nice,1
50099,50099,niiiiiiiiice,nice,1
50101,50101,nnnice,nice,1
50102,50102,niceeeeeeeeee,nice,1
50105,50105,nnnnnnnnnnice,nice,1
50109,50109,niiiiiice,nice,1
50114,50114,niceee,nice,1
50141,50141,nnnnnnnnnice,nice,1
50145,50145,niccccce,nice,1
50195,50195,niccccccccccce,nice,1
50201,50201,niceeeeeeeeeeeeee,nice,1
50238,50238,niceeeeeeeee,nice,1
50365,50365,niceeeeeee,nice,1
60000,60000,baddddddddddddd,bad,-1
60001,60001,baaaaaaaad,bad,-1
60002,60002,baaaaaaaaad,bad,-1
60003,60003,bbbbbbbbbad,bad,-1
60004,60004,baaaaaaaaaaaaad,bad,-1
60005,60005,baaaaad,bad,-1
60007,60007,baddddddddd,bad,-1
60008,60008,badddddddd,bad,-1
60009,60009,badddddd,bad,-1
60010,60010,bbbbbbbbbbbbbbad,bad,-1
60011,60011,baad,bad,-1
60012,60012,bbbbbbbbbbbbad,bad,-1
60016,60016,baaaaaaaaaaaaaaad,bad,-1
60018,60018,badddddddddddddd,bad,-1
60019,60019,baddddddd,bad,-1
60020,60020,baaaaaaaaaaaad,bad,-1
60021,60021,badddddddddd,bad,-1
60022,60022,baddddd,bad,-1
60023,60023,bbad,bad,-1
60027,60027,bbbbbad,bad,-1
60030,60030,baddddddddddd,bad,-1
60031,60031,bbbbbbbbad,bad,-1
60037,60037,baaaaaaaaaaad,bad,-1
60038,60038,bbbbbbbbbbbad,bad,-1
60040,60040,badddd,bad,-1
60042,60042,bbbbad,bad,-1
60043,60043,bbbbbbbbbbbbbbbad,bad,-1
60044,60044,baaad,bad,-1
60049,60049,baddddddddddddddd,bad,-1
60051,60051,bbbbbbad,bad,-1
60055,60055,bbbbbbbad,bad,-1
60057,60057,baaaad,bad,-1
60058,60058,badddddddddddd,bad,-1
60066,60066,badd,bad,-1
60068,60068,baaaaaad,bad,-1
60077,60077,bbbbbbbbbbad,bad,-1
60097,60097,baddd,bad,-1
60112,60112,bbbbbbbbbbbbbad,bad,-1
60116,60116,baaaaaaaaaaaaaad,bad,-1
60123,60123,baaaaaaaaaad,bad,-1
60182,60182,bbbad,bad,-1
60193,60193,baaaaaaad,bad,-1
70000,70000,nooooooooo,no,-1
70001,70001,nooooooo,no,-1
70002,70002,nnnnnnnnnnno,no,-1
70003,70003,nnnnnno,no,-1
70004,70004,nnnnnnnnnnnnnnno,no,-1
70005,70005,nnnnnnnnnnnno,no,-1
70006,70006,nnnno,no,-1
70007,70007,nno,no,-1
70008,70008,nnnnno,no,-1
70009,70009,nooooooooooooo,no,-1
70010,70010,nnnnnnnno,no,-1
70011,70011,nnnnnnnnnno,no,-1
70012,70012,noooo,no,-1
70014,70014,noooooooooo,no,-1
70016,70016,nooooo,no,-1
70017,70017,nnno,no,-1
70019,70019,nnnnnnnnnnnnnno,no,-1
70020,70020,noooooooo,no,-1
70022,70022,nnnnnnno,no,-1
70036,70036,nooo,no,-1
70038,70038,noo,no,-1
70039,70039,noooooooooooooo,no,-1
70044,70044,nnnnnnnnnnnnno,no,-1
70050,70050,noooooo,no,-1
70053,70053,nooooooooooo,no,-1
70062,70062,nooooooooooooooo,no,-1
70090,70090,noooooooooooo,no,-1
70121,70121,nnnnnnnnno,no,-1
80000,80000,shhhhhit,shit,-1
80001,80001,shiiiiiiiit,shit,-1
80002,80002,shittttttttttttttt,shit,-1
80003,80003,shhhhit,shit,-1
80004,80004,shhhhhhhhit,shit,-1
80005,80005,sssssssssssssshit,shit,-1
80007,80007,shiiiiiiiiiit,shit,-1
80008,80008,shittttttt,shit,-1
80009,80009,shhhhhhit,shit,-1
80010,80010,shittttt,shit,-1
80011,80011,shittttttttttttt,shit,-1
80012,80012,shhhhhhhhhit,shit,-1
80013,80013,shitttttt,shit,-1
80014,80014,ssssssssssshit,shit,-1
80015,80015,ssssssssssssssshit,shit,-1
80016,80016,shiit,shit,-1
80018,80018,shiiiiit,shit,-1
80019,80019,shhhhhhhit,shit,-1
80020,80020,shhhhhhhhhhhhhhhit,shit,-1
80021,80021,shiiiiiiiiiiiiiit,shit,-1
80023,80023,ssssssssssssshit,shit,-1
80025,80025,shitttttttttttt,shit,-1
80026,80026,shiiiiiiiiiiiiiiit,shit,-1
80028,80028,shitttt,shit,-1
80029,80029,shiiiiiiiiiiit,shit,-1
80030,80030,shiiiiiiiiiiiiit,shit,-1
80031,80031,shhhhhhhhhhhhit,shit,-1
80032,80032,shhhhhhhhhhhhhit,shit,-1
80035,80035,shiiiiiit,shit,-1
80037,80037,shittttttttttt,shit,-1
80038,80038,shhhit,shit,-1
80039,80039,shiiiiiiiiiiiit,shit,-1
80042,80042,ssshit,shit,-1
80045,80045,shhhhhhhhhhhhhhit,shit,-1
80048,80048,shhhhhhhhhhit,shit,-1
80049,80049,sssssssssssshit,shit,-1
80053,80053,shiiiiiiiiit,shit,-1
80054,80054,sssssssshit,shit,-1
80057,80057,ssssssshit,shit,-1
80058,80058,sssssshit,shit,-1
80061,80061,sssssssssshit,shit,-1
80063,80063,shhit,shit,-1
80068,80068,ssssshit,shit,-1
80071,80071,shhhhhhhhhhhit,shit,-1
80075,80075,shittttttttt,shit,-1
80081,80081,sssshit,shit,-1
80084,80084,shiiit,shit,-1
80090,80090,shitt,shit,-1
80096,80096,shiiiit,shit,-1
80108,80108,shitttttttttt,shit,-1
80124,80124,shiiiiiiit,shit,-1
80132,80132,shitttttttttttttt,shit,-1
80169,80169,shitttttttt,shit,-1
80175,80175,shittt,shit,-1
80240,80240,sshit,shit,-1
80264,80264,ssssssssshit,shit,-1
90000,90000,ffffffffffuck,fuck,-1
90001,90001,fuckkkkkkkkk,fuck,-1
90002,90002,fuuuck,fuck,-1
90003,90003,fuuuuuuuuuuuuck,fuck,-1
90005,90005,fuckk,fuck,-1
90006,90006,fffffffffffffffuck,fuck,-1
90007,90007,fucccccccccccck,fuck,-1
90008,90008,fuckkkkkkkkkkk,fuck,-1
90009,90009,fuuuuuuuuuuuck,fuck,-1
90012,90012,fuuuuuuuuuck,fuck,-1
90013,90013,fuccck,fuck,-1
90014,90014,ffffffffuck,fuck,-1
90015,90015,fffffffffffffuck,fuck,-1
90016,90016,fuuuuck,fuck,-1
90017,90017,fuccccck,fuck,-1
90018,90018,fuuuuuck,fuck,-1
90019,90019,fffuck,fuck,-1
90020,90020,fuccccccccck,fuck,-1
90021,90021,fuuuuuuuck,fuck,-1
90022,90022,fucccccccccccccck,fuck,-1
90024,90024,fucccccck,fuck,-1
90027,90027,fuuck,fuck,-1
90028,90028,fuccccccccccccck,fuck,-1
90029,90029,fucccccccccck,fuck,-1
90030,90030,fffffffuck,fuck,-1
90031,90031,fuccccccccccccccck,fuck,-1
90036,90036,fuckkkkkkkkkk,fuck,-1
90037,90037,fuckkkkkkkkkkkkkk,fuck,-1
90038,90038,fuckkkkkkkk,fuck,-1
90039,90039,fuckkkkkkkkkkkkk,fuck,-1
90040,90040,fuckkkkkkkkkkkkkkk,fuck,-1
90043,90043,fffffffffffuck,fuck,-1
90044,90044,fuuuuuuuuuuuuuuck,fuck,-1
90045,90045,fuckkkk,fuck,-1
90046,90046,ffffffffffffffuck,fuck,-1
90049,90049,ffffuck,fuck,-1
90050,90050,fuckkkkkk,fuck,-1
90051,90051,ffffffffffffuck,fuck,-1
90052,90052,fuckkkkkkk,fuck,-1
90056,90056,fuuuuuuuuuuck,fuck,-1
90059,90059,fucck,fuck,-1
90063,90063,fuccccccccccck,fuck,-1
90072,90072,fuckkkkkkkkkkkk,fuck,-1
90086,90086,fucccccccck,fuck,-1
90088,90088,fuckkk,fuck,-1
90089,90089,fuccccccck,fuck,-1
90094,90094,fuckkkkk,fuck,-1
90095,90095,fuuuuuuck,fuck,-1
90101,90101,ffuck,fuck,-1
90105,90105,fuuuuuuuuuuuuuck,fuck,-1
90113,90113,fffffffffuck,fuck,-1
90119,90119,fffffuck,fuck,-1
90160,90160,fuuuuuuuuuuuuuuuck,fuck,-1
90162,90162,fuuuuuuuuck,fuck,-1
90212,90212,fucccck,fuck,-1
90224,90224,ffffffuck,fuck,-1
100000,100000,nasssssssssty,nasty,-1
100001,100001,nasttttty,nasty,-1
100002,100002,nastyy,nasty,-1
100003,100003,nasssssssssssssssty,nasty,-1
100004,100004,nasssssssty,nasty,-1
100005,100005,nastyyy,nasty,-1
100006,100006,nassssty,nasty,-1
100007,100007,nnnnnnnnnasty,nasty,-1
100008,100008,nasssty,nasty,-1
100009,100009,nasttty,nasty,-1
100010,100010,naaaaaaaaaaaaasty,nasty,-1
100011,100011,nastyyyyyyyyy,nasty,-1
100012,100012,naaaaaasty,nasty,-1
100013,100013,nastttttty,nasty,-1
100015,100015,nasttttttty,nasty,-1
100016,100016,nnnnnnasty,nasty,-1
100017,100017,nasttttttttty,nasty,-1
100018,100018,nassssssty,nasty,-1
100019,100019,nasttttttttttttttty,nasty,-1
100021,100021,nastyyyyy,nasty,-1
100022,100022,nnasty,nasty,-1
100023,100023,nastttttttttty,nasty,-1
100024,100024,nassty,nasty,-1
100025,100025,nastttttttttttty,nasty,-1
100027,100027,nastty,nasty,-1
100028,100028,naaaaaaaaaaaaaaasty,nasty,-1
100029,100029,nasttttttttttty,nasty,-1
100034,100034,nnnnnnnnasty,nasty,-1
100036,100036,nnnnnnnnnnnnasty,nasty,-1
100037,100037,nastyyyyyy,nasty,-1
100038,100038,nastyyyy,nasty,-1
100041,100041,naaaaaaasty,nasty,-1
100043,100043,nnnnnnnnnnnnnasty,nasty,-1
100044,100044,nastyyyyyyyyyyy,nasty,-1
100046,100046,nastyyyyyyyyyy,nasty,-1
100047,100047,naaaaaaaaaaaasty,nasty,-1
100051,100051,nasttttttttttttty,nasty,-1
100056,100056,naaaasty,nasty,-1
100057,100057,nastttttttty,nasty,-1
100059,100059,naaaaaaaasty,nasty,-1
100061,100061,nastyyyyyyyyyyyyyy,nasty,-1
100062,100062,nnnasty,nasty,-1
100064,100064,nassssssssssssty,nasty,-1
100065,100065,nnnnnnnnnnnnnnasty,nasty,-1
100068,100068,nnnnnnnnnnasty,nasty,-1
100069,100069,nnnnnnnasty,nasty,-1
100070,100070,nastttty,nasty,-1
100073,100073,nasssssssssssssty,nasty,-1
100077,100077,nastyyyyyyyyyyyy,nasty,-1
100079,100079,nastyyyyyyyyyyyyyyy,nasty,-1
100085,100085,nnnnnnnnnnnasty,nasty,-1
100091,100091,nastyyyyyyyy,nasty,-1
100092,100092,nnnnasty,nasty,-1
100094,100094,nasssssty,nasty,-1
100107,100107,naaaaaaaaasty,nasty,-1
100110,100110,naaaaaaaaaaasty,nasty,-1
100113,100113,nassssssssssssssty,nasty,-1
100120,100120,naasty,nasty,-1
100127,100127,nnnnnnnnnnnnnnnasty,nasty,-1
100132,100132,nassssssssssty,nasty,-1
100141,100141,nnnnnasty,nasty,-1
100157,100157,nastyyyyyyy,nasty,-1
100168,100168,naaaaasty,nasty,-1
100193,100193,nasssssssssssty,nasty,-1
100201,100201,nassssssssty,nasty,-1
100212,100212,naaaaaaaaaasty,nasty,-1
100218,100218,naaasty,nasty,-1
100234,100234,naaaaaaaaaaaaaasty,nasty,-1
100316,100316,nastttttttttttttty,nasty,-1
100355,100355,nastyyyyyyyyyyyyy,nasty,-1
110000,110000,hellllllllllllllll,hell,-1
110001,110001,hhhhhhhhhhhhhhhell,hell,-1
110002,110002,helllll,hell,-1
110003,110003,heeeeeeeeeell,hell,-1
110004,110004,hhhhhhhhhhell,hell,-1
110005,110005,hellll,hell,-1
110006,110006,hhhhhhhell,hell,-1
110008,110008,hhhhhhell,hell,-1
110009,110009,heeeell,hell,-1
110010,110010,helllllllllllll,hell,-1
110014,110014,heeeeeeeeeeeeell,hell,-1
110015,110015,heeeeeeeeell,hell,-1
110016,110016,hhhhhhhhhhhhhell,hell,-1
110018,110018,heeell,hell,-1
110019,110019,helllllllllllllll,hell,-1
110020,110020,heeeeeell,hell,-1
110021,110021,heeeeeeeeeeell,hell,-1
110022,110022,hhhhhhhhhhhhell,hell,-1
110024,110024,helllllll,hell,-1
110025,110025,heell,hell,-1
110028,110028,heeeeeeeeeeeell,hell,-1
110029,110029,hhell,hell,-1
110031,110031,helll,hell,-1
110033,110033,helllllllll,hell,-1
110035,110035,hellllllll,hell,-1
110036,110036,hellllllllll,hell,-1
110038,110038,hellllll,hell,-1
110039,110039,hhhhell,hell,-1
110040,110040,heeeeeeeeeeeeeell,hell,-1
110043,110043,hellllllllllll,hell,-1
110045,110045,hellllllllllllll,hell,-1
110046,110046,hhhhhhhhell,hell,-1
110054,110054,helllllllllll,hell,-1
110065,110065,hhhhhhhhhhhell,hell,-1
110067,110067,hhhhhhhhhhhhhhell,hell,-1
110072,110072,hhhhhell,hell,-1
110075,110075,hhhhhhhhhell,hell,-1
110096,110096,heeeeell,hell,-1
110099,110099,hhhell,hell,-1
110101,110101,heeeeeeell,hell,-1
110130,110130,heeeeeeeell,hell,-1
110138,110138,heeeeeeeeeeeeeeell,hell,-1
